,uid,symbol,n_days,h_stuck_avg_l,h_stuck_max_l,h_stuck_avg_s,h_stuck_max_s,l_adg %,s_adg %,total adg %,total gain %,total gain $,bkr Long,bkr_Short,strat
4,8a161,MATICUSDT,567.9986111111111,2.4277767883644996,402.1333333333333,6.034513796665191,289.75,0.45118301080415285,0.01722321170730176,0.4684062225114546,1076.0158830000003,10648.036659197001,1.0,1.0,/flyingtoaster/1.7/MATICUSDT_20220726144831_522de/config.json
15,963d8,MATICUSDT,567.9986111111111,3.118016163464471,209.1,6.151609506618532,211.23333333333332,0.37806817744361293,0.020000845679545198,0.3980690231231581,704.3165910000001,6992.042517631014,1.0,1.0,/flyingtoaster/1.5/MATICUSDT_20220723093109_e541e/config.json
11,62d06,XRPUSDT,567.9986111111111,0.6877537292097607,338.48333333333335,1.4004485994109992,182.4,0.23414665592571163,0.008452389666252991,0.24259904559196463,273.2121500000004,2647.1850428100147,1.0,1.0,/flyingtoaster/1.7/EGLDUSDT_20220726144831_522de/config.json
3,6f8a4,ADAUSDT,567.9986111111111,3.308729773462783,487.76666666666665,3.1592043259945926,138.35,0.20291307487739718,0.012156298465743691,0.21506937334314088,195.59755400000012,1932.887067932005,1.0,1.0,/flyingtoaster/1.5/ADAUSDT_20220723093109_e541e/config.json
14,eb1ed,AVAXUSDT,567.9986111111111,0.3186230054849165,49.05,1.2934781921118386,121.66666666666667,0.15901781080333025,0.033494404790070764,0.192512215593401,175.94879400000053,1665.7884437018827,1.0,1.0,/MDCL/Update_0.2.1/AVAXUSDT_0.2.1/config.json
12,eb1ed,MATICUSDT,567.9986111111111,0.3080322374119685,90.28333333333333,1.2635060401025735,103.78333333333333,0.16579633701045066,0.023014368769888605,0.18881070578033926,174.80553570136328,1642.6864212644514,1.0,1.0,/MDCL/Update_0.2.1/AVAXUSDT_0.2.1/config.json
2,78c07,UNIUSDT,567.9986111111111,2.933498314324654,394.8833333333333,2.658339833593344,449.51666666666665,0.16578661230319536,0.01626799014630803,0.1820546024495034,148.98066399999988,1467.9185407160167,1.0,1.0,/flyingtoaster/1.7/ADAUSDT_20220726144831_522de/config.json
18,e3a7d,LTCUSDT,567.9986111111111,13.867717870464565,326.7,3.7626184561597205,207.58333333333334,0.06515255312342204,0.11152649411934426,0.17667904724276629,127.48649999999986,1248.6200730000046,1.0,1.0,/official_PB_config/v5.6.0/2022-06-25_static_AUenabled.json
16,e967e,XRPUSDT,567.9986111111111,5.009910572093593,112.4,6.751840845302955,154.13333333333333,0.10561775124167637,0.07065873209366101,0.17627648333533738,129.24773423529413,1282.0760376529465,1.0,1.0,/official_PB_config/v5.6.0/2022-06-13_static_16symbols_AUenabled.json
9,34bc9,DOTUSDT,567.9986111111111,0.4127396956118041,111.36666666666666,0.4338074932111337,146.98333333333332,0.14113699242259573,0.02974075272422328,0.170877745146819,146.3098800000002,1364.1612740600165,1.0,1.0,/dotcom87/dotcom87_scalp_neat_0_1/GRTUSDT_20220725154729_35c4c/config.json
0,57f1e,TRXUSDT,567.9986111111111,0.7629262741586448,358.1166666666667,0.9670804956488839,330.18333333333334,0.10420110526492836,0.060254523487869215,0.16445562875279757,103.47956199999994,993.5487582429569,1.0,1.0,/MDCL/Update_0.2.1/DOTUSDT_0.2.1/config.json
5,40823,SOLUSDT,567.9986111111111,0.4560253794087802,87.15,1.3726680763937837,143.95,0.13048771230170667,0.033681377652581564,0.16416908995428822,136.239358,1288.9060731799755,1.0,1.0,/MDCL/Update_0.1/AVAXUSDT_0.1/config.json
17,e3a7d,DOTUSDT,567.9986111111111,8.02824892029839,192.13333333333333,2.2815006973500696,72.25,0.05497758225159955,0.1062964533796207,0.16127403563122025,111.68551,1088.2523774200072,1.0,1.0,/official_PB_config/v5.6.0/2022-06-25_static_AUenabled.json
1,462f1,XRPUSDT,567.9986111111111,0.39206116383855816,68.21666666666667,0.6118476959904249,351.5833333333333,0.11964613611166756,0.03828545511581299,0.15793159122748054,117.62690000000072,1085.0412489501464,1.0,1.0,/dotcom87/dotcom87_scalp_neat_0_1/CHZUSDT_20220725154729_35c4c/config.json
8,1bcb7,TRXUSDT,567.9986111111111,6.9022616033755275,392.48333333333335,7.658408239700374,218.65,0.14712552476134652,0.007565773058264886,0.1546912978196114,123.99507300000009,1230.0841986390049,1.0,1.0,/flyingtoaster/1.5/SANDUSDT_20220723093109_e541e/config.json
19,e3a7d,AVAXUSDT,567.9986111111111,6.718564153113192,125.16666666666667,1.512813968113047,83.9,0.06726259539941065,0.08687821628925346,0.15414081168866411,104.91518199999979,1008.3311550279905,1.0,1.0,/official_PB_config/v5.6.0/2022-06-25_static_AUenabled.json
7,17e01,ADAUSDT,567.9986111111111,0.8467585978425161,105.7,0.6529970620169891,131.76666666666668,0.10131490992241103,0.05217470060658898,0.153489610529,114.98512699999995,1096.764486993081,1.0,1.0,/dotcom87/dotcom87_scalp_neat_0_1/ONEUSDT_20220728060537_06eab/config.json
10,0d71e,XRPUSDT,567.9986111111111,0.7214589397547851,175.56666666666666,0.7257608830680224,346.4,0.09659387266614283,0.04658726108637774,0.14318113375252056,102.53398999999985,968.7389510801349,1.0,1.0,/dotcom87/dotcom87_scalp_neat_0_1/CHRUSDT_20220728060537_06eab/config.json
13,eb1ed,DOTUSDT,567.9986111111111,0.4344296079118731,61.75,1.8946444290016213,131.36666666666667,0.12063011284464714,0.020807595944873705,0.14143770878952083,115.57562000000014,1097.2277035799498,1.0,1.0,/MDCL/Update_0.2.1/AVAXUSDT_0.2.1/config.json
6,40823,AVAXUSDT,567.9986111111111,0.40189765814636835,65.46666666666667,1.13034549474848,93.76666666666667,0.09976442168623781,0.04159871562008194,0.14136313730631975,106.1777460000001,985.3141526699458,1.0,1.0,/MDCL/Update_0.1/AVAXUSDT_0.1/config.json
